ID	TD1	TD2	BM1	TD3	BM2	BM3	TD4	TD5	TD6	BM4	TD7	TD8	BM5	TD9	BM6	BM7	BM8	BM9	TD10	BM10
ID_147240	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35637e-07	0	0	0	0	4.4748e-07	0
ID_147440	0	0	0	3.83515e-07	0	0	0	0	0	2.01562e-06	0	0	0	0	0	0	0	0	0	0
ID_147658	2.81918e-07	0	0	0	0	0	0	0	0	2.08443e-06	3.10813e-07	0	0	0	0	0	0	0	0	0
ID_147766	0	0	0	0	0	0	0	0	0	1.02248e-05	0	0	0	0	0	0	0	0	0	0
ID_148115	0	0	0	0	0	0	0	0	0	9.48282e-07	0	0	0	0	0	0	0	0	0	0
ID_148119	2.48841e-06	0	0	1.29926e-07	0	0	2.9277e-07	8.32347e-07	1.00196e-06	6.22684e-06	8.66006e-06	0	0	2.4762e-07	0	0	0	0	7.5598e-08	1.48731e-06
ID_148213	0	0	0	0	0	0	0	0	0	2.76187e-06	0	0	0	0	0	0	0	0	0	0
ID_148317	0	0	0	0	0	0	0	0	0	2.79683e-06	0	0	0	0	0	0	0	0	0	0
ID_148474	0	0	0	1.22736e-07	0	0	0	0	0	1.1468e-06	1.08041e-07	0	0	0	0	0	0	0	0	0
ID_148688	2.53726e-07	0	0	0	0	0	0	0	0	1.93816e-06	3.20137e-07	0	0	0	0	0	0	0	0	0
ID_148707	4.16514e-08	0	0	0	0	0	0	0	0	1.25953e-06	9.09481e-08	0	0	0	0	0	0	0	0	0
ID_148793	0	0	0	4.36243e-08	0	0	0	0	0	7.25526e-07	0	0	0	0	0	0	0	0	0	0
ID_149044	0	0	0	0	0	0	0	0	0	1.32982e-06	0	0	0	0	1.80129e-06	0	0	5.08605e-07	0	2.13722e-06
ID_149077	6.79624e-08	0	0	0	0	0	0	0	0	1.0232e-06	6.53342e-08	0	0	0	0	0	0	6.05839e-07	0	0
ID_149106	0	0	0	0	0	0	0	0	0	1.1636e-05	0	0	0	0	0	0	0	0	0	0
ID_149325	0	0	0	2.07789e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_149414	0	0	0	3.29e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_149863	2.26361e-07	0	0	8.01993e-07	0	0	2.4115e-07	0	0	0	2.38561e-07	1.89303e-06	0	2.68517e-06	1.47999e-05	0	0	0	7.53863e-07	6.21152e-06
ID_149944	0	0	0	0	0	0	0	4.77014e-06	0	0	0	4.77891e-06	0	0	0	0	0	0	0	0
ID_149977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30186e-05	0	0
ID_150176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86222e-06	0	0
ID_150333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56078e-07	0	0	1.41379e-06	0	0
ID_150383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66037e-07	0	1.81018e-07	7.62534e-07	0	0
ID_150401	0	0	0	0	0	0	0	0	0	7.03662e-07	0	0	0	0	0	0	0	1.56941e-06	0	0
ID_150443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8972e-07	0	9.13352e-08	6.17955e-07	0	0
ID_150459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47132e-06	0	0
ID_150559	0	2.69508e-07	2.58504e-07	0	2.47212e-06	0	0	0	0	2.45775e-06	1.66805e-07	0	1.35289e-05	0	4.43422e-06	3.57537e-06	1.02175e-06	4.1166e-06	0	2.97053e-06
ID_150592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31189e-07
ID_150656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85412e-05	0	0	0	0	0
ID_150900	0	0	0	0	0	0	1.07063e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_151025	7.77709e-08	1.49332e-07	1.93774e-07	6.34027e-07	0	0	2.69464e-07	8.72298e-08	2.31763e-07	0	2.16472e-07	3.0718e-07	0	6.81045e-07	0	0	0	0	1.42677e-07	3.44498e-07
ID_151067	2.7253e-07	2.13432e-07	0	1.07649e-06	0	7.79531e-08	3.95646e-06	7.75461e-07	1.77552e-06	1.16843e-07	5.99935e-07	3.16928e-06	0	5.17378e-06	0	0	0	0	8.35343e-07	0
ID_151081	0	1.57016e-07	0	0	0	0	0	0	2.05667e-08	1.66503e-07	0	0	0	0	0	0	0	0	0	1.99198e-07
ID_151441	0	0	0	0	0	0	0	0	2.47061e-08	0	2.99474e-08	1.88019e-06	0	0	0	0	0	0	0	0
ID_151591	0	0	0	0	0	0	0	0	0	5.82222e-07	0	0	0	0	0	0	0	0	0	0
ID_151720	0	5.7923e-08	0	0	0	0	5.14369e-08	1.14383e-07	0	0	0	5.88115e-08	0	0	0	0	0	0	0	0
ID_151859	0	0	0	0	0	0	0	0	0	0	0	0	4.61663e-06	0	0	0	0	0	0	0
ID_151978	2.61574e-08	1.14381e-07	0	6.4651e-07	0	0	4.57436e-06	6.0083e-07	1.69062e-06	0	8.42223e-08	2.78392e-06	0	7.23002e-07	0	0	0	2.19133e-07	2.22504e-07	5.84873e-07
ID_152007	2.84484e-06	2.06907e-06	1.24151e-06	2.56688e-06	0	6.22488e-07	1.01469e-05	3.8052e-07	5.09085e-06	1.88331e-05	8.73494e-06	9.45168e-07	0	3.49262e-06	8.5734e-06	5.27684e-07	1.37417e-06	1.62541e-05	8.35725e-07	6.92599e-06
ID_152091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33504e-05	0	0	0	0	1.41277e-05
ID_152092	0	0	0	0	1.34131e-06	0	0	0	0	0	0	0	1.79374e-06	9.64803e-08	0	0	0	0	0	1.25142e-06
ID_152102	0	1.78535e-07	6.72384e-07	0	0	0	0	0	0	0	0	2.7237e-07	0	0	0	0	0	0	1.01143e-07	0
ID_152169	0	2.33927e-06	0	0	0	0	1.92262e-06	1.01408e-06	2.05633e-06	0	7.95241e-07	4.44776e-06	0	2.74771e-08	0	0	0	0	0	0
ID_152217	0	0	0	1.75466e-07	0	0	8.15928e-08	0	0	0	0	3.92322e-08	0	3.14918e-07	0	0	0	0	0	0
ID_152308	2.3902e-06	0	0	0	0	0	0	0	0	0	0	0	0	1.05256e-05	0	0	0	0	5.66398e-06	0
ID_152310	6.4473e-07	1.79858e-06	0	1.37632e-06	0	0	1.55931e-05	5.10824e-06	3.34361e-06	0	4.73198e-06	3.8089e-06	0	1.03436e-05	0	0	0	0	1.92345e-06	1.90838e-06
ID_152612	0	0	8.32638e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_152661	0	0	2.29365e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_152786	0	0	0	0	0	0	0	0	1.19053e-07	1.75087e-06	1.68399e-07	0	0	0	0	2.38031e-06	9.66277e-08	4.35947e-07	0	0
ID_152921	1.78874e-06	2.03533e-07	0	1.53076e-06	0	0	5.71559e-06	2.72228e-06	3.08129e-06	2.83633e-07	2.68121e-06	1.12624e-06	0	7.79295e-06	0	0	0	0	2.33604e-06	1.11059e-06
ID_152955	0	0	0	2.46911e-07	0	0	9.11768e-07	2.28323e-07	1.23893e-07	0	1.50185e-07	7.33243e-07	0	5.87629e-07	0	0	0	0	1.16511e-07	0
ID_153159	0	0	0	0	0	0	2.46823e-07	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_153313	0	0	0	0	0	0	2.53205e-07	1.20099e-07	0	3.68711e-07	0	4.71528e-07	0	1.14429e-07	0	0	0	0	0	0
